ID,numericalData,numericalDataType,textData,fileData
11,,,"ТАМБОВЪ, съ 1779 году главный городъ Намѣстничества сего имени. Здѣсь бываютъ въ годъ два съѣзда, сверхъ обыкновенныхъ торговъ: первой въ Іюнѣ мѣсяцѣ о десятой пятницѣ; второй для богомолія Казанской Богородицѣ 8 Іюля, и сіи торги продолжаются дни по два.",
12,,,"ТВЕРЬ, съ 1775 году главный городъ Намѣстничества сего имени. Здѣсь торги бываютъ дважды во вторникъ и въ четвертокъ; а въ Тверскомъ уѣздѣ въ Микульскомъ стану, въ отчинѣ Князя Мещерскаго , въ селѣ Лотошинѣ, въ недѣлѣ по единожды по воскреснымъ днямъ, и привозятъ разныхъуѣздовъ и деревень крестьяне въ оные торговые дни товары домовые своей работы, пеньку, хлѣбъ, масло и прочіе мѣлочные.",
13,,,"ТОБОЛЬСКЪ, съ 1782 году главный городъ Намѣстничества сего имени. Купцы Россійскіе, въ Сибири и на Китайскую границу торгующіе, Тобольска не минуютъ. Зимою съ обѣихъ сторонъ есть проѣздъ непрестанной ; весною отправляютъ по рѣкамъ на судахъ въ Енисейскъ и до Иркутска, а осенью оттуда водянымъ же путемъ пріѣзжаютъ. И такъ бываетъ въ Тобольскѣ дважды въ годъ ярмарка: весною Россійскимъ, а осенью Сибирскимъ и Китайскимъ товарамъ. Купцы пріѣздъ еще имѣютъ съ товарами изъ Ирбитской ярмарки, и торгъ содержатъ Марта съ 20 Маія по 25 число, въ томъ числѣ пріѣзжаютъ и Греки.",
14,,,"ТУЛА, съ 1777 году главный городъ Намѣстничества сего имени. Здѣсь ярмарка бываетъ въ году два раза: I) при церкви Покрова Пресвятыя Богородицы , въ десятую отъ Святой недѣли пятницу; вторая Іюня 8 дня, при состоящемъ за городовымъ замкомъ Казанскомъ Соборѣ. Для складки привозимыхъ товаровъ имѣются подъ Тульскимъ Магистратомъ въ нижнемъ департаментѣ, также и особь построенныя палатки. Съ товарами на ярмарки постороннаго съѣзда не бываетъ, а отправляются только тамошними. Въ недѣлѣ два торга, въ понедѣльникъ и четвертокъ.",
15,,,"АЛАТЫРЬ, городъ Синбирскаго Намѣстничества. Въ уѣздѣ сего города бываетъ годовыхъ семь ярмарокъ.",
16,,,"АЛЕКСИНЪ, городъ Тульскаго Намѣстничества. Здѣсь бываютъ двѣ въ году ярмарки: первая Іюля 1, вторая Августа 29 дня. На оныя пріѣзжаютъ съ разными москотильными товарами.",
17,,,"АРЗАМАСЪ, городъ Нижегородскаго Намѣстничества. Здѣсь обыкновенно бываетъ торговыхъ въ недѣлѣ два Дни.",
18,,,"АХТЫРКА , городъ Харьковскаго Намѣстничества; въ немъ бываетъ четыре ярмарки: первая о всеѣдной недѣлѣ, вторая Маія 9, третія Іюля четвертая Октября 28 дня; купцы пріѣзжаютъ изъ раз ныхъ городовъ, привозятъ парчи , шелковыя матеріи и серебро въ дѣлѣ; торгуютъ также скотомъ , лошадьми и прочимъ.",
19,,,"БѢЖЕЦКЪ, городъ Тверскаго Намѣстничества. Въ немъ бываетъ ярмарка , начинающаяся Іюня сь 30, и продолжающаяся до 5 Іюля; пріѣзжаютъ купцы изъ смѣжныхъ городовъ; привозятъ товары шелковые и прочіе москотильные мѣлочные и желѣзные. Здѣсь же бываютъ въ понедельникъ и четвертокъ торжки. Въ уѣздѣ онаго находятся ярмаркижь въ селахъ у Спаса на Холму Кесовѣ горѣ, Молодовѣ и Порѣчьѣ, въ которыхъ и еженедѣльные торги бываютъ, на Холму во вторникъ, въ Молодовѣ въ среду , а въ Кесовѣ и Порѣчьѣ въ пятницу. Въ селахъ же Поводневѣ и Шипинѣ годовыя ярмарки бываютъ на 14 число Сентября; а въ селѣ Кесовѣ горѣ на 24 число Іюня , на которыя отъ уѣздныхъ обывателей привозится всякой хлѣбъ и прочіе сырейные и съѣстные товары; а изъ прочихъ городовъ отъ обывателей уѣздныхъ мѣлочные товары, кромѣ что въ Кесову гору никуда не ѣздятъ.",
20,,,"БѢЛГОРОДЪ, городъ Курскаго Намѣстничества. Въ ономъ бываютъ три годовыя ярмарки: первая послѣ Святой недѣли въ десятую пятницу, вторая въ день Апостоловъ Петра и Павла, третія въ день Успвія Богородицы; да въ уѣздѣ онаго города бываютъ годовые торги въ Помѣщичьихъ слободахъ въ Петровской Мацвева, въ Троицкой Матюшкина, въ Сабыниной Брылкиной, въ Шебе-киной Графа Генрикова, въ Алексѣевкѣ , Корчіюкъ тожь, економической , въ Зимовѣйкѣ и Бѣлей Князя Трубецкаго, въ Ефремовкѣ Герсевановой, въ Козмодемьянской Камышина, въ Михайловкѣ , Бекорюковка тожь , Бекорюкова, въ Вознесенской , Ивановка тожь , Бакшеева. Купцы на оные торги пріѣзжаютъ изъ близъ лежащихъ городовъ съ мѣлочными лавочными товарами.",
21,,,"БѢЛОЗЕРСКЪ, городъ Новогородскаго Намѣстничества. Въ немъ въ зимнее время бываютъ каждую недѣлю по понедѣльникамъ съѣзды , на которыхъ торгуетъ крестьянство разными ихъ домовными издѣльями , также привозятъ мя сѣно и хлѣбъ.",
22,,,"ВАЛУЙКИ, городъ Воронежскаго Намѣстничества. Въ ономъ бываетъ въ году ярмарка, называемая Петровская; да въ уѣзДѣ въ слободахъ бываютъ ярмарки , въ Уразовой семь , въ Николаевкѣ четыре , въ Погромцѣ пять , въ Венделевкѣ три , въ Бѣлокуриной двѣ, въ Деркулѣ три.",
23,,,"ВЕНЕВЪ, городъ Тульскаго Намѣстничества. Въ семъ городѣ бываетъ годовая ярмарка въ десятую пятницу по Пасхѣ; торгуютъ иногородные купцы разными товарами.",
24,,,"ВЕРЕЯ, городъ Московской Губерніи и Провинціи. Въ ономъ бываетъ въ году одна ярмарка Іюня 23 дня въ день Владимерскія Богоматери, и продолжается три дни ; на оную пріѣзжаютъ купцы изъ Москвы , Тулы , Калуги, Серпухова , Можайска , Боровска и прочихъ ближнихъ городовъ; привозятъ шелковые, бумажные, москотильные и прочіе товары небольшимъ числомъ , а по большей части съѣзжаются крестьяне съ льнянымъ и хрящевымъ холетомъ, колесами, лыками и съ другимъ мѣлочнымъ товаромъ.",
25,,,"ВЕРХНІЙ УДИНСКЪ, городъ Иркутскаго Намѣстничества. Въ немъ бываютъ въ году двѣ ярмарки : первая Февраля съ 15 до половины Марта, а вторая Іюня съ 15 до половины Іюля ; торговля и промыслъ на оныхъ состоитъ изъ разныхъ привозимыхъ изъ Иркутска и другихъ городовъ купцами Россійскихъ и Нѣмецкихъ товаровъ, на которые вымѣниваютъ у здѣшнихъ иновѣрцовъ пушные товары , рогатой скотъ, лошадей и проч. и отвозятъ чрезъ Троицкую крѣпость въ Кяхту для промѣну Китайцамъ.",
26,,,"ВОЛОКОЛАМСКЪ, городъ Московской Губерніи и Провинціи. Въ ономъ бываетъ годовая Іюня 29 дня ярмарка. Пріѣзжаютъ изъ разныхъ городовъ и уѣздовъ съ разными крестьянскими и щепетильными мѣлкими товарами , также съ хлѣбомъ, сохами, косами, серпами и проч. сверхъ сего въ уѣздѣ онаго торжки бываютъ еженедѣльно: 1) въ селѣ Ярополчѣ въ пятокъ, 2) въ селѣ Ивашковѣ въ субботу, з ) въ селѣ Середѣ Стратилатовской въ середу. Годовыя ярмарки отправляются , 1) въ селѣ Ярополчѣ въ десятую пятницу, 2) въ селѣ Середѣ Стратилатовской Іюня 8 дня , 3 ) У Левкіева монастыря Августа 15 дня, 4) у Іосифове монастыря въ день Пятидесятницы и Сентября 8 дня,5) въ деревнѣ Беркуновѣ въ девятую путницу, 6) въ селѣ Бѣлой Колпи Августа 19 дня, 7) въ селѣ Раменьѣ Іюня дня, 8 ) въ селѣ Черлянковѣ Маія 9 дня, 9) въ селѣ Ховани Іюля 20 дня , 10) въ селѣ Муриковѣ Сентября 25 дня, 11) въ селѣ Снировѣ Ноября 21 дня. На сихъ ярмаркахъ торгуютъ по одному дню разными крестьянскими товарами.",
27,,,"ГАДЯЧЬ, городъ Черниговскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарки: первая Генваря 6, въ день Св. Богоявленія, вторая Апрѣля 23, въ день Св. Великомученика Георгія, третія Іюня 29, въ день Св. Апостоловъ Петра и Павла, четвертая Октября 14, въ день Преподобныя Параскевы. На оныхъ ярмаркахъ и въ торговые еженедѣльные дни торгуютъ хлѣбомъ, медомъ, воскомъ, табакомъ , саломъ, волною , горячимъ виномъ , лошадьми, рогатымъ скотомъ, овцами и прочею мѣлочью.",
28,,,"ГОРОХОВЕЦЪ, городъ Владимерскаго Намѣстничества. Здѣсь ярмарокъ нѣтъ, а бываетъ одна, разстояніемъ отъ онаго въ двадцати четырехъ верстахъ за рѣкою Клязьмою при Флорищевской пустынѣ прежде пра здника успенія Пресвятыя Богородицы дней за пять, на которую привозятъ холстъ и прочіе мѣлочные Россійскіе товары.",
29,,,"ДИНАБУРГЪ, городъ Полотскаго Намѣстничества, Въ семъ городѣ положено по привиллегіи три въ году ярмарки: первая Генваря 6, вторая Іюня 24, третія Сентября 8; но нынѣ ихъ не бываетъ ; въ уѣздѣ же сего города въ пятидесяти шести селахъ бываютъ; только торги, на коихъ тутошніе жители и Рижскіе обыватели торгуютъ мѣлочными Нѣмецкими товарами.",
30,,,"ДМИТРОВЪ, городъ Московской Губерніи. Въ ономъ бываетъ въ году одна ярмарка, которая начинается съ 15 Сентября , и продолжается недѣлю ; съ товарами пріѣзжаютъ изъ разныхъ ближиихъ городовъ , а именно изъ Москвы ,кзъ Переславля Залѣснаго , изъ Ярославля; изъ Катина и изъ смѣжныхъ мѣстъ. Товары оные состоятъ въ щепетьѣ, шапкахъ, сапогахъ и прочей всякой мѣлочи; также торговыхъ дней въ недѣлѣ бываетъ два: понедѣльникъ и четвер токъ.",
31,,,"ДОНКОВЪ, городъ Рязанскаго Намѣстничества. Бываютъ здѣсь двѣ въ году ярмарки : первая въ пятницу десятой , вторая въ пятницу второй надесять недѣли по Пасхѣ. Пріѣзжаютъ на оныя купцы съ разными мѣлочными товарами.",
32,,,"ЕЛЕЦЪ, городъ Орловскаго Намѣстничества. Здѣсь бываютъ торжки въ Аргамачей слободѣ Сентября въ 8 день, а въ уѣздѣ его въ селѣ Подворгальскомъ Маія 21, при ТешевскомъЗадонскомъ Богородицкомъ монастырѣ Іюля 23 день, въ селѣ Петровскомъ Іюня 29, въ селѣ Тюртенѣ Іюля въ 8 день. На сихъ ярмаркахъ торгуютъ Елецкіе и другихъ городовъ купцы съ уѣздными обывателями всякими разными мѣлочными товары, а обыватели продаютъ купцамъ и своей братьи лошадей , скотину , холстъ и съѣстные всякіе припасы и рукодѣлье.",
33,,,"ЕПИФАНЬ, городъ Тульскаго Намѣстничества. Въ ономъ бываетъ ярмарка Маія 9, то есть въ день Чудотворца Николая. Купцы пріѣзжаютъ изъ окрестныхъ городовъ съ разными не въ знатномъ числѣ товарами.",
34,,,"ЗАРАЙСКЪ , городъ Рязанскаго Намѣстничества. Въ семъ городѣ бываетъ годовыхъ ярмарокъ три: Маія 9 , во время праздника Пятидесятницы, да Іюля 28 чиселъ. Нѣкоторые уѣздные обыватели пріѣзжаютъ съ разнымъ хлѣбомъ и деревенскими рукодѣліями, съ продажными лошадьми и рогатою скотиною ; а изъ Тулы, Венева и Каширы пріѣзжаютъ купцы съ косами, Коломенскіе же съ хомутами , брусьями, пенечными бечевами и прочимъ.",
35,,,"ЗВЕНИГОРОДЪ, городъ Московской Губерніи. Бываетъ ярмарка при Ставропигіальномъ Савинѣ Сторожевскомъ монастырѣ , отъ Звенигорода въ двухъ верстахъ, лѣтнимъ временемъ о десятой пятницѣ привозными изъ разныхъ мѣстѣ мѣлкими шелковыми товарамии рухлядью, а отъ крестьянства съѣстнымъ харчемъ.",
36,,,"ЗУБЦОВЪ, городъ Тверскаго Намѣстничества. Въ семъ городѣ бываютъ годовыя ярмарки : первая въ десятую пятницу по Пасхѣ , вторая Іюля 20, въ день Пророка Іліи, третія Августа 6, въ день Преображенія , четвертая Августажь 15, въ день успенія , пятая 6 Декабря, шестая Маія 9, въ день Чудотворца Николая, седьмая Генваря 7, въ день Крестителя Іоанна, осьмая на Сырной недѣлѣ въ среду; торгуютъ окрестныхъ городовъ купцы - шелковыми , бумажными и прочими мѣлочными товарами, а большею частію съѣстными припасами.",
37,,,"ИЗЮМЪ, городъ Харьковскаго Намѣстничества. Въ семъ городѣ бываетъ въ году четыре ярмарки: первая въ Маіѣ мѣсяцѣ въ день Преполовенія, вторая Іюня 24, въ день Рождества Іоанна Предтечи, третія Сентября 14, въ день Воздвиженія честнаго Креста, четвертая Октября 2б, въ день Великомученика Димитрія ; на оныя купцы пріѣзжаютъ изъ разныхъ городовъ съ шелковыми , бумажными , шерстяными и прочими товарами.",
38,,,"КАСИМОВЪ, городъ того же Намѣстничества. Въ немъ ярмарка бываетъ Іюля 8 дня; на оной торгуютъ приходящіе для богомолія въ Казанской дѣвичій монастырь.",
39,,,"КАШИНЪ , городъ Тверскаго Намѣстничества. Здѣсь бываютъ двѣ ярмарки: первая въ великой постъ на второй недѣлѣ въ воскресенье, которая довольно бываетъ велика по причинѣ съѣзжающагося на оную Дворянства и уѣздныхъ обывателей ; вторая послѣ Святой недѣли въ десятую пятницу. Товары привозятъ на оныя изъ уѣзду холсты льняные разные, да изъ города Ярославля , Переславля Залѣскаго и Углича купцы пріѣзжаютъ съ мѣлочными всякими небогатыми товарами.",
40,,,"КОШИРА , городъ Тульскаго Намѣстничества. Здѣсь бываетъ годовая ярмарка въ день Вознесенія Господня въ Маіѣ мѣсяцѣ , но торгуютъ мѣдочными товарами.",
41,,,"КЕРЕНСКЪ, городъ Пензенскаго Намѣстничества. Въ ономъ бываютъ двѣ ярмарки въ году: первая въ Іюнѣ, а другая въ Іюлѣ мѣсяцахъ, и продолжаются , первая день , а другая два, сверхъ каждонедѣльныхъ торговъ. Купцы на оныя пріѣ-зжаютъ Кадомонскіе , Касимовскіе и Арсамазскіе съ разными мѣлочными товарами.",
42,,,"КИНЕШМА, городъ того же Намѣстничества. Здѣсь бываетъ годовая ярмарка на Воздвиженіе честнаго Креста Сентября съ 14 по 25 число; на оную ярмарку пріѣзжаютъ купцы изъ Москвы, Ярославля, Костромы , Нижняго Новагорода, и привозятъ на продажу сукна, разныя шелковыя матеріи, серебреную и оловянную посуду и всякіе мѣлочные товары, также рыбу и овощъ.",
43,,,"КИРЕНСКЪ, городъ Иркутскаго Намѣстничества. Здѣсь бывала ежегодно лѣтнимъ временемъ ярмарка, на которую множество купцовъ для торгу съѣзжалось, но за упадкомъ здѣшнихъ жителей оставлена.",
44,,,"КОЗЕЛЬСКЪ, городъ Калужскаго Намѣстничества. Въоиомъ бываетъ ярмарка въ десятую пятницу по Пасхѣ. Сюда пріѣзжаютъ иногородные купцы съ разными товарами, шелковыми и бумажными, также крестьяне продаютъ свои продукты , пеньну, смольчугъ и поташъ , масло , парусную пряжу; а прочіе торги бываютъ еженедѣльно въ понедѣльникъ.",
45,,,"КОЛОМНА, городъ Московской Губерніи. Въ немъ еженедѣльно по понедѣльникамъ и четвергамъ для торгу собирается изъ здѣшняго и другихъ уѣздовъ крестьянство съ хлѣбомъ, щепетильнымъ товаромъ, глиняною и деревянною посудою и разными издѣльями.",
46,,,"КАРОЧА , или КОРОЧА , городъ Курскаго Намѣстничества. Въ ономъ, кромѣ еженедѣльныхъ двухъ торговъ , бываетъ шесть годовыхъ ярмарокъ: первая въ день Рождества Богородицы , вторая въ зимній Николинъ день, третія въ Новой годъ, четвертая весною въ Николинъ же день , пятая Іюля 8 числа, шестая въ Успеньевъ день. На оныхъ торгуютъ купцы мѣлкими красными раз-ными товарами, а обыватели хлѣбомъ , щетиною и посконнымъ холстомъ.",
47,,,"КРАСНОСЛОБОДСКЪ , городъ Пензенскаго Намѣстничества. Въ ономъ бываетъ одна въ году ярмарка на осьмой недѣлѣ по Пасхѣ въ пятокъ. Купцы пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми, бумажными , москотильными и прочими разными въ небольшемъ числѣ товарами ; большеюжь частію пріѣзжаютъ крестьяне съ своими припасами.",
48,,,"ЛИВНЫ, городъ Орловскаго Намѣстничества. Здѣсь бываетъ въ годъ одна ярмарка послѣ Пасхи на десятой недѣлѣ въ пятницу; пріѣзжаютъ на оную купцы изъ окрестныхъ городовъ съ шелковыми и про чими мѣлочными товарами; также собираются и крестьяне съ своими издѣльями.",
49,,,"ЛЮБИМЪ , городъ Ярославскаго Намѣстничества. Въ немъ бываетъ въ годъ двѣ ярмарки: первая въ Тройцынъ день, вторая Декабря 6; продолжав щіяся только по одному дню. На оныя съѣзжаются изъ ближнихъ городовъ купцы съ шел-ювыми и прочими суровскими поварами ; а изъ окрестныхъ селеній крестьяне съ холстами а прочими издѣльями.",
50,,,"МИРГОРОДЪ , городъ Кіевскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарми: первая на срединѣ великаго поста , другая въ день праздника Вознесенія Христова , третія Сентября 8 , четвертая Декабря 6 чиселъ; торгуютъ ва оныхъ пріѣзжіе изъ уѣзду жители разными мѣдкими товарами , тамъ родящимися и дѣлающимися, какъ - то хлѣбомъ , горячимъ виномъ, разнымъ скотомъ, овчинами , кожами ; иногда пріѣзжаютъ и Великороссійскіе купцы съ краснымъ товаромъ и прочимъ.",
51,,,"МИРОПОЛЬЕ, городъ Харьковскаго Намѣстничества. Въ семъ городѣ бываютъ въ году три ярмарки : первая на пятой недѣлѣ великаго поста, вторая на седьмой недѣлѣ по Пасхѣ, третія Сентября 1 дня. На оныя пріѣзжаютъ купцы изъ ближнихъ Великороссійскихъ городовъ , и привозятъ всякіе внутренніе мѣлкіе товары, торгуютъ также скотомъ и лошадьми.",
52,,,"МОЖАЙСКЪ, городъ Московской Губерніи. Въ ономъ , кромѣ еженедѣльнаго по понедѣльникамъ торговаго дня, ярмарка бываетъ въ имѣющихся въ семъ городѣ рядахъ Іюня 29 дня; на оную пріѣзжаютъ изъ ближнихъ къ нему городовъ , изъ Тулы , Калуги , Боровска и Вереи съ разными шелковыми и прочими мѣлочными товарами.",
53,,,"МСТИСЛАВЛЬ, городъ Могилевскаго Намѣстничества. Въ ономъ бываетъ въ году двѣ ярмарки , на которыя пріѣзжаютъ для торгу Жиды, и продаютъ разные товары, какъ-то хлѣбъ, скотъ и для крестьянскихъ работъ разныя вещи.",
54,,,"НАРОВЧАТЪ , городъ Пензенскаго Намѣстничества. Въ семъ городѣ бываетъ въ годъ три ярмарки : первая Іюня 29, вторая Іюля 20, третія Августа 6 дня, сверхъ Обыкновенныхъ каждонедѣльныхъ торговъ.",
55,,,"НОВОСИЛЬ , городъ Тульскаго Намѣстничества. Здѣсь бываетъ въ году одна ярмарка въ денъ Преполовенія ; пріѣзжаютъ изъ сосѣдственныхъ городовъ купцы съ разными мѣ-лочными москотильными и красными товарами.",
56,,,"НѢЖИНЪ , городъ Черниговскаго Намѣстничества. Въ ономъ бываетъ въ году три ярмарки: первая Всеѣдинская въ Февралѣ , вторая Троицкая въ Іюнѣ , третія Покровская съ 1 Октября ; торгуютъ Великороссійскіе и Малороссійскіе купцы и Греки шелковыми, бумажными , шерстяными товарами, ладономъ, чаемъ, Волошскими винами , Крымскою солью , икрою, пушнымъ Россійскимъ товаромъ , медомъ , воскомъ , щетиною , горячимъ виномъ , табакомъ и прочимъ,",
57,,,"ОСТРОВЪ, городъ Псковскаго Намѣстничества. Въ ономъ бываетъ въ году три ярмарки : первая въ Маіѣ, вторая въ Іюлѣ, третія Сентября 14; купцы пріѣзжаютъ изъ Пскова съ бумажными , шелковыми и прочими въ небольшемъ числѣ товарами.",
58,,,"ПЕРЕЯСЛАВЛЬ, городъ Кіевскаго Намѣстничества. Въ ономъ бываютъ въ году ярмарки : первая Генваря 6, въ день Богоявленія , вторая въ десятую пятницу по Пасхѣ, третія Сентября 1, Симеоновская; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ красными, храмными, суконными и прочими товарами ; а жители тѣхъ мѣстъ продаютъ рогатой скотъ, лошадей , хлѣбъ , смолу , горячее вино и прочее.",
59,,,"ПЕТРОВСКЪ, городъ Ярославскаго Намѣстничества. Въ немъ бываетъ въ годъ днѣ ярмарки : первая 29 Іюля , а вторая 14 Сентября, на которыя съѣзжается изъ близъ лежащихъ уѣздовъ крестьянство съ разными издѣльями и съѣстны-ми припасами.",
60,,,"ПИРЯТИНЪ, городъ Кіевскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарки : первая въ день середопостія , вторая въ день Вознесенія , третія въ день Рождества Богородицы, четвертая въ день Параскевы. Купцы пріѣзжаютъ на оныя изъ Великорос-сійскихъ городовъ съ краснымъ товаромъ, съ кожами, желѣзомъ и прочимъ.",
61,,,"ПОШЕХОНЬ, городъ Ярославскаго Намѣстничества. Здѣсь , кромѣ еженедѣльнаго торгу по вторникамъ , ярмарка бываетъ 1 на праздникъ Святыя Троицы , 2 въ Сентябрѣ на праздникъ Іоанна Богослова, на которыя пріѣзжаютъ купцы изъ прикосновенныхъ горед въ , Ярославля , Романова , Углича и Вологды съ разными товарами , и торгуютъ по недѣлѣ.",
62,,,"РОГАЧЕВЪ, городъ Могилевскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарки.",
